id,route,station,units,emp,long,lat,position,direction,instance,instancecount,linelength,stationid,uniqueid
1,A Line,Union Station Transit Center,5639,19850,-105.003471,39.75490118,0,E,1,8,8,1,1
1,B Line,Union Station Transit Center,5639,19850,-105.003471,39.75490118,0,NW,2,8,10,1,2
1,C Line,Union Station Transit Center,5639,19850,-105.003471,39.75490118,0,S,3,8,13,1,3
1,E Line,Union Station Transit Center,5639,19850,-105.003471,39.75490118,0,SE,4,8,19,1,4
1,FF Line,Union Station Transit Center,5639,19850,-105.003471,39.75490118,0,NW,5,8,11,1,5
1,G Line,Union Station Transit Center,5639,19850,-105.003471,39.75490118,0,W,6,8,8,1,6
1,N Line,Union Station Transit Center,5639,19850,-105.003471,39.75490118,0,N,7,8,9,1,7
1,W Line,Union Station Transit Center,5639,19850,-105.003471,39.75490118,0,W,8,8,15,1,8
1,A Line,38th and Blake Station,862,2477,-104.9737789,39.77048657,1,E,1,1,8,2,9
1,A Line,40th and Colorado Station,611,1765,-104.9427046,39.77600407,2,E,1,1,8,3,10
1,A Line,Central Park Station,285,2042,-104.891631,39.77059027,3,E,1,1,8,4,11
1,A Line,Peoria Station,3,2937,-104.8504833,39.76744769,4,E,1,2,8,5,12
1,R Line,Peoria Station,3,2937,-104.8504833,39.76744769,0,SE,2,2,17,5,13
1,A Line,40th and Airport Gateway Park Station,0,206,-104.7875025,39.76993544,5,E,1,1,8,6,14
1,A Line,61st and Pena Station,0,0,-104.7838791,39.8068003,6,E,1,1,8,7,15
1,A Line,Denver Airport Station,0,518,-104.673916,39.84625303,7,E,1,1,8,8,16
1,B Line,Westminster Station,874,2187,-105.0289637,39.82268418,1,NW,1,1,10,9,17
1,B Line,US 36 and Church Ranch Station Gate A,67,2732,-105.0731451,39.88799172,2,NW,1,2,10,10,18
1,FF Line,US 36 and Church Ranch Station Gate A,67,2732,-105.0731451,39.88799172,2,NW,2,2,11,10,19
1,B Line,US 36 and Broomfield Station Gate L,1493,817,-105.0846689,39.90650854,3,NW,1,2,10,11,20
1,FF Line,US 36 and Broomfield Station Gate L,1493,817,-105.0846689,39.90650854,3,NW,2,2,11,11,21
1,B Line,US 36 and Broomfield Station Gate R,1490,828,-105.0845836,39.90641257,3,NW,1,2,10,12,22
1,FF Line,US 36 and Broomfield Station Gate R,1490,828,-105.0845836,39.90641257,3,NW,2,2,11,12,23
1,B Line,US 36 and Flatiron Station Gate D,2,734,-105.1238169,39.93278785,4,NW,1,2,10,13,24
1,FF Line,US 36 and Flatiron Station Gate D,2,734,-105.1238169,39.93278785,4,NW,2,2,11,13,25
1,B Line,Louisville,390,1586,-105.1287943,39.97189558,5,NW,1,1,10,14,26
1,B Line,30th St and Walnut St,852,6649,-105.2506497,40.02370003,6,NW,1,2,10,15,27
1,FF Line,30th St and Walnut St,852,6649,-105.2506497,40.02370003,7,NW,2,2,11,15,28
1,B Line,Niwot,198,5500,-105.2080233,40.07375424,7,NW,1,1,10,16,29
1,B Line,Longmont,432,1442,-105.0952419,40.16074962,8,NW,1,1,10,17,30
1,C Line,Pepsi Center and Elitch Gardens Station,1418,6086,-105.0097328,39.7486016,1,S,1,3,13,18,31
1,E Line,Pepsi Center and Elitch Gardens Station,1418,6086,-105.0097328,39.7486016,1,SE,2,3,19,18,32
1,W Line,Pepsi Center and Elitch Gardens Station,1418,6086,-105.0097328,39.7486016,1,W,3,3,15,18,33
1,C Line,Sports Authority Field at Mile High,234,4817,-105.0132661,39.74343841,2,S,1,3,13,19,34
1,E Line,Sports Authority Field at Mile High,234,4817,-105.0132661,39.74343841,2,SE,2,3,19,19,35
1,W Line,Sports Authority Field at Mile High,234,4817,-105.0132661,39.74343841,2,W,3,3,15,19,36
1,C Line,Auraria West Campus Station,232,5784,-105.0107642,39.74167807,3,S,1,3,13,20,37
1,E Line,Auraria West Campus Station,232,5784,-105.0107642,39.74167807,3,SE,2,3,19,20,38
1,W Line,Auraria West Campus Station,232,5784,-105.0107642,39.74167807,3,W,3,3,15,20,39
1,C Line,10th and Osage Station,1197,5568,-105.0056949,39.73214,4,S,1,1,13,21,40
1,C Line,Alameda Station,1219,3499,-104.9931612,39.70867482,5,S,1,5,13,22,41
1,D Line,Alameda Station,1219,3499,-104.9931612,39.70867482,5,S,2,5,16,22,42
1,E Line,Alameda Station,1219,3499,-104.9931612,39.70867482,5,SE,3,5,19,22,43
1,F Line,Alameda Station,1219,3499,-104.9931612,39.70867482,5,SE,4,5,20,22,44
1,H Line,Alameda Station,1219,3499,-104.9931612,39.70867482,5,SE,5,5,18,22,45
1,C Line,I-25 and Broadway Station,1271,5453,-104.9901698,39.70196262,6,S,1,5,13,23,46
1,D Line,I-25 and Broadway Station,1271,5453,-104.9901698,39.70196262,6,S,2,5,16,23,47
1,E Line,I-25 and Broadway Station,1271,5453,-104.9901698,39.70196262,6,SE,3,5,19,23,48
1,F Line,I-25 and Broadway Station,1271,5453,-104.9901698,39.70196262,6,SE,4,5,20,23,49
1,H Line,I-25 and Broadway Station,1271,5453,-104.9901698,39.70196262,6,SE,5,5,18,23,50
1,C Line,Evans Station,796,1904,-104.9928406,39.67766601,7,S,1,2,13,24,51
1,D Line,Evans Station,796,1904,-104.9928406,39.67766601,7,S,2,2,16,24,52
1,C Line,Englewood Station,1067,5033,-105.0000022,39.65544732,8,S,1,2,13,25,53
1,D Line,Englewood Station,1067,5033,-105.0000022,39.65544732,8,S,2,2,16,25,54
1,C Line,Oxford-City of Sheridan Station,274,3552,-105.004812,39.64289079,9,S,1,2,13,26,55
1,D Line,Oxford-City of Sheridan Station,274,3552,-105.004812,39.64289079,9,S,2,2,16,26,56
1,C Line,Littleton Downtown Station,1163,4945,-105.014867,39.61196846,10,S,1,2,13,27,57
1,D Line,Littleton Downtown Station,1163,4945,-105.014867,39.61196846,10,S,2,2,16,27,58
1,C Line,Littleton Mineral Station,1173,1003,-105.0250215,39.58008689,11,S,1,2,13,28,59
1,D Line,Littleton Mineral Station,1173,1003,-105.0250215,39.58008689,11,S,2,2,16,28,60
1,C Line,C-470 and Lucent Blvd,592,3067,-105.0094673,39.55872508,12,S,1,2,13,29,61
1,D Line,C-470 and Lucent Blvd,592,3067,-105.0094673,39.55872508,12,S,2,2,16,29,62
1,D Line,16th St and California Station,4744,80432,-104.9923212,39.74496602,0,S,1,1,16,30,63
1,D Line,18th St and California Station,5287,79817,-104.9902782,39.74659137,0,S,1,2,16,31,64
1,H Line,18th St and California Station,4744,80432,-104.9923212,39.74496602,0,SE,2,2,18,31,65
1,D Line,16th St and Stout Station,5061,83628,-104.9928993,39.74605732,1,S,1,1,16,32,66
1,D Line,18th St and Stout Station,5777,71819,-104.9904877,39.7479369,1,S,1,2,16,33,67
1,H Line,18th St and Stout Station,5061,83628,-104.9928993,39.74605732,1,SE,2,2,18,33,68
1,D Line,Theatre District Convention Center,3710,56894,-104.9964686,39.74387399,2,S,1,3,16,34,69
1,F Line,Theatre District Convention Center,3710,56894,-104.9964686,39.74387399,2,SE,2,3,20,34,70
1,H Line,Theatre District Convention Center,3710,56894,-104.9964686,39.74387399,2,SE,3,3,18,34,71
1,D Line,Colfax at Auraria Station,1175,8838,-105.001967,39.74034441,3,S,1,3,16,35,72
1,F Line,Colfax at Auraria Station,1175,8838,-105.001967,39.74034441,3,SE,2,3,20,35,73
1,H Line,Colfax at Auraria Station,1175,8838,-105.001967,39.74034441,3,SE,3,3,18,35,74
1,D Line,11th and Osage Station,1197,5568,-105.0056949,39.73214,4,S,1,1,16,36,75
1,D Line,University of Denver Station,1438,1233,-104.9646926,39.68523086,8,S,1,3,16,37,76
1,E Line,University of Denver Station,1438,1233,-104.9646926,39.68523086,8,SE,2,3,19,37,77
1,H Line,University of Denver Station,1438,1233,-104.9646926,39.68523086,8,SE,3,3,18,37,78
1,E Line,12th and Osage Station,1197,5568,-105.0056949,39.73214,4,SE,1,1,19,38,79
1,E Line,Louisiana and Pearl Station,1986,1843,-104.9782108,39.69283151,7,SE,1,3,19,39,80
1,F Line,Louisiana and Pearl Station,1986,1843,-104.9782108,39.69283151,7,SE,2,3,20,39,81
1,H Line,Louisiana and Pearl Station,1986,1843,-104.9782108,39.69283151,7,SE,3,3,18,39,82
1,E Line,Colorado Station,2468,11868,-104.9376713,39.67963913,9,SE,1,3,19,40,83
1,F Line,Colorado Station,2468,11868,-104.9376713,39.67963913,9,SE,2,3,20,40,84
1,H Line,Colorado Station,2468,11868,-104.9376713,39.67963913,9,SE,3,3,18,40,85
1,E Line,Yale Station,1347,1600,-104.9271708,39.6686276,10,SE,1,3,19,41,86
1,F Line,Yale Station,1347,1600,-104.9271708,39.6686276,10,SE,2,3,20,41,87
1,H Line,Yale Station,1347,1600,-104.9271708,39.6686276,10,SE,3,3,18,41,88
1,E Line,Southmoor Station,1531,2039,-104.9160784,39.64821005,11,SE,1,3,19,42,89
1,F Line,Southmoor Station,1531,2039,-104.9160784,39.64821005,11,SE,2,3,20,42,90
1,H Line,Southmoor Station,1531,2039,-104.9160784,39.64821005,11,SE,3,3,18,42,91
1,E Line,Belleview Station,1676,9330,-104.9045611,39.62768039,12,SE,1,3,19,43,92
1,F Line,Belleview Station,1676,9330,-104.9045611,39.62768039,12,SE,2,3,20,43,93
1,R Line,Belleview Station,1676,9330,-104.9045611,39.62768039,10,SE,3,3,17,43,94
1,E Line,Orchard Station,1004,14690,-104.8960679,39.61337115,13,SE,1,3,19,44,95
1,F Line,Orchard Station,1004,14690,-104.8960679,39.61337115,13,SE,2,3,20,44,96
1,R Line,Orchard Station,1004,14690,-104.8960679,39.61337115,11,SE,3,3,17,44,97
1,E Line,Arapahoe at Village Center Station,553,10935,-104.8885563,39.60030393,14,SE,1,3,19,45,98
1,F Line,Arapahoe at Village Center Station,553,10935,-104.8885563,39.60030393,14,SE,2,3,20,45,99
1,R Line,Arapahoe at Village Center Station,553,10935,-104.8885563,39.60030393,12,SE,3,3,17,45,100
1,E Line,Dry Creek Station,699,10297,-104.8767847,39.57905452,15,SE,1,3,19,46,101
1,F Line,Dry Creek Station,699,10297,-104.8767847,39.57905452,15,SE,2,3,20,46,102
1,R Line,Dry Creek Station,699,10297,-104.8767847,39.57905452,13,SE,3,3,17,46,103
1,E Line,County Line Station,345,7759,-104.8722758,39.56181189,16,SE,1,3,19,47,104
1,F Line,County Line Station,345,7759,-104.8722758,39.56181189,16,SE,2,3,20,47,105
1,R Line,County Line Station,345,7759,-104.8722758,39.56181189,14,SE,3,3,17,47,106
1,E Line,Lincoln Station,1748,3755,-104.869638,39.54578635,17,SE,1,3,19,48,107
1,F Line,Lincoln Station,1748,3755,-104.869638,39.54578635,17,SE,2,3,20,48,108
1,R Line,Lincoln Station,1748,3755,-104.869638,39.54578635,15,SE,3,3,17,48,109
1,E Line,Ridge Gate Parkway,1,0,-104.8674851,39.51656644,18,SE,1,3,19,49,110
1,F Line,Ridge Gate Parkway,1,0,-104.8674851,39.51656644,18,SE,2,3,20,49,111
1,R Line,Ridge Gate Parkway,1,0,-104.8674851,39.51656644,16,SE,3,3,17,49,112
1,F Line,17th St and California Station,4744,80432,-104.9923212,39.74496602,0,SE,1,1,20,50,113
1,F Line,19th St and California Station,5287,79817,-104.9902782,39.74659137,0,SE,1,2,20,51,114
1,L Line,19th St and California Station,4744,80432,-104.9923212,39.74496602,0,NE,2,2,8,51,115
1,F Line,17th St and Stout Station,5061,83628,-104.9928993,39.74605732,1,SE,1,1,20,52,116
1,F Line,19th St and Stout Station,5777,71819,-104.9904877,39.7479369,1,SE,1,2,20,53,117
1,L Line,19th St and Stout Station,5061,83628,-104.9928993,39.74605732,1,NE,2,2,8,53,118
1,F Line,13th and Osage Station,1197,5568,-105.0056949,39.73214,4,SE,1,1,20,54,119
1,FF Line,US 36 and Sheridan Station Gate D,524,3638,-105.0532666,39.85777211,1,NW,1,1,11,55,120
1,FF Line,US 36 and Sheridan Station Gate E,530,3639,-105.0532337,39.85764631,1,NW,1,1,11,56,121
1,FF Line,US 36 and McCaslin Stn Gate F,103,2882,-105.165888,39.95699266,5,NW,1,1,11,57,122
1,FF Line,US 36 and Table Mesa Station Gate A,2026,962,-105.2345405,39.98578023,6,NW,1,1,11,58,123
1,FF Line,Downtown Boulder Station Gate E,2283,14994,-105.2768372,40.0165979,7,NW,1,1,11,59,124
1,G Line,41st and Fox St Station,770,2191,-104.9968707,39.77353599,1,W,1,1,8,60,125
1,G Line,Pecos Station,0,596,-105.0050222,39.8052805,2,W,1,1,8,61,126
1,G Line,Federal Boulevard Station,266,337,-105.023326,39.80392147,3,W,1,1,8,62,127
1,G Line,Sheridan Boulevard Station,414,1803,-105.049161,39.80366514,4,W,1,1,8,63,128
1,G Line,Olde Town Arvada,1662,3510,-105.0785364,39.79770339,5,W,1,1,8,64,129
1,G Line,Arvada Ridge Station,1010,815,-105.1112691,39.79264017,6,W,1,1,8,65,130
1,G Line,Ward Road Station,566,2254,-105.1330108,39.78803673,7,W,1,1,8,66,131
1,H Line,20th St and California Station,5287,79817,-104.9902782,39.74659137,0,SE,1,2,18,67,132
1,H Line,20th St and Stout Station,5777,71819,-104.9904877,39.7479369,1,SE,1,1,18,68,133
1,H Line,14th and Osage Station,1197,5568,-105.0056949,39.73214,4,SE,1,1,18,69,134
1,H Line,Dayton Station,1571,119,-104.8776707,39.64311723,12,SE,1,2,18,70,135
1,R Line,Dayton Station,1571,119,-104.8776707,39.64311723,9,SE,2,2,17,70,136
1,H Line,Nine Mile Station,1129,917,-104.845093,39.65755591,13,SE,1,2,18,71,137
1,R Line,Nine Mile Station,1129,917,-104.845093,39.65755591,8,SE,2,2,17,71,138
1,H Line,Iliff Station,1806,3418,-104.8268127,39.67333246,14,SE,1,2,18,72,139
1,R Line,Iliff Station,1806,3418,-104.8268127,39.67333246,7,SE,2,2,17,72,140
1,H Line,Florida Station,1153,3559,-104.8283955,39.69000692,15,SE,1,2,18,73,141
1,R Line,Florida Station,1153,3559,-104.8283955,39.69000692,6,SE,2,2,17,73,142
1,L Line,21st St and California Station,5287,79817,-104.9902782,39.74659137,0,NE,1,1,8,74,143
1,L Line,21st St and Stout Station,5777,71819,-104.9904877,39.7479369,1,NE,1,1,8,75,144
1,L Line,20th St and Welton Station,5982,53397,-104.9867305,39.74805784,2,NE,1,1,8,76,145
1,L Line,25th St and Welton Station,4861,2441,-104.9800587,39.75315688,3,NE,1,1,8,77,146
1,L Line,27th St and Welton Station,3361,1757,-104.9773322,39.7552365,4,NE,1,1,8,78,147
1,L Line,30th and Downing Station,2779,1624,-104.9735602,39.75865035,5,NE,1,1,8,79,148
1,N Line,46th Ave & Brighton Blvd,282,1366,-104.967883,39.78081501,1,N,1,1,9,80,149
1,N Line,70th Ave and Colorado Blvd,592,847,-104.939796,39.82356499,2,N,1,1,9,81,150
1,N Line,88th Ave and Welby Rd {1203},665,561,-104.953807,39.85619599,3,N,1,1,9,82,151
1,N Line,104th Ave and Fox Run Parkway,1676,669,-104.945525,39.885049,4,N,1,1,9,83,152
1,N Line,112th Ave,1008,782,-104.960724,39.89969934,5,N,1,1,9,84,153
1,N Line,124th Ave,1299,421,-104.961294,39.92148307,6,N,1,1,9,85,154
1,N Line,144th Ave,568,159,-104.9563028,39.95742249,7,N,1,1,9,86,155
1,N Line,160th Ave,26,18,-104.9408103,39.98635385,8,N,1,1,9,87,156
1,R Line,Fitzsimons Parkway Station,964,197,-104.8393657,39.75497441,1,SE,1,1,17,88,157
1,R Line,Colfax Station,1387,1046,-104.8270141,39.74045184,2,SE,1,1,17,89,158
1,R Line,13th Avenue Station,1675,1241,-104.8235186,39.73493395,3,SE,1,1,17,90,159
1,R Line,2nd Ave and  Abilene Station,1715,1913,-104.8255414,39.71951282,4,SE,1,1,17,91,160
1,R Line,Aurora City Center Station,594,6004,-104.8191429,39.70873597,5,SE,1,1,17,92,161
1,W Line,Decatur-Federal Station,1259,1342,-105.0240609,39.73732324,4,W,1,1,15,93,162
1,W Line,Knox Station,2247,367,-105.0327967,39.73566926,5,W,1,1,15,94,163
1,W Line,Perry Station,1942,410,-105.0398872,39.73482697,6,W,1,1,15,95,164
1,W Line,Sheridan Station,1968,1254,-105.0529123,39.73514427,7,W,1,1,15,96,165
1,W Line,Lamar Station,1487,2631,-105.067008,39.73675498,8,W,1,1,15,97,166
1,W Line,Lakewood-Wadsworth Station,1848,2761,-105.0815286,39.73666229,9,W,1,1,15,98,167
1,W Line,Garrison Station,1062,1176,-105.0994734,39.73657249,10,W,1,1,15,99,168
1,W Line,Oak Station,681,4026,-105.1197249,39.73728959,11,W,1,1,15,100,169
1,W Line,Federal Center Station,71,8165,-105.1289523,39.7199965,12,W,1,1,15,101,170
1,W Line,Red Rocks College Station,704,1077,-105.1521052,39.7250594,13,W,1,1,15,102,171
1,W Line,Jefferson Co Government - Golden Station,1150,1405,-105.201338,39.72645113,14,W,1,1,15,103,172
